id,instrument_1,instrument_2
156,guitar_acoustic_014-052-025,keyboard_acoustic_004-061-025
157,string_acoustic_080-053-050,keyboard_acoustic_004-054-075
158,keyboard_synthetic_000-049-100,guitar_acoustic_010-068-075
159,flute_acoustic_002-079-127,keyboard_acoustic_004-072-127
160,flute_synthetic_000-080-050,guitar_acoustic_015-062-025
161,string_acoustic_014-050-127,keyboard_acoustic_004-054-075
162,keyboard_synthetic_000-056-100,string_acoustic_057-069-075
163,guitar_acoustic_021-058-100,keyboard_electronic_078-058-025
164,keyboard_acoustic_004-048-075,string_acoustic_057-055-100
165,string_acoustic_056-078-127,keyboard_electronic_002-053-127
166,guitar_acoustic_014-074-127,string_acoustic_056-075-025
167,flute_synthetic_000-079-100,keyboard_electronic_069-072-100
168,string_acoustic_057-058-127,keyboard_electronic_069-066-025
169,keyboard_acoustic_004-075-100,string_acoustic_014-051-100
170,guitar_acoustic_014-075-025,keyboard_acoustic_004-066-025
171,string_acoustic_014-059-050,flute_synthetic_000-054-050
172,flute_synthetic_000-068-075,string_acoustic_057-067-100
173,flute_synthetic_000-062-025,guitar_acoustic_030-061-100
174,flute_acoustic_002-079-100,keyboard_electronic_002-082-127
175,keyboard_acoustic_004-079-127,guitar_electronic_022-077-100
176,keyboard_electronic_098-059-127,flute_synthetic_000-062-025
177,guitar_acoustic_015-068-127,keyboard_acoustic_004-082-050
178,guitar_acoustic_010-083-025,keyboard_electronic_078-068-050
179,keyboard_electronic_002-076-100,guitar_acoustic_010-049-100
180,keyboard_electronic_069-083-075,guitar_acoustic_015-062-025
181,keyboard_electronic_078-058-025,string_acoustic_056-062-127
182,keyboard_electronic_002-049-127,flute_acoustic_002-079-127
183,flute_synthetic_000-050-127,string_acoustic_014-050-127
184,flute_synthetic_000-053-025,keyboard_electronic_098-073-100
185,string_acoustic_014-064-075,flute_acoustic_002-078-050
186,flute_synthetic_000-061-075,keyboard_electronic_078-058-050
187,keyboard_synthetic_000-063-075,guitar_electronic_022-082-050
188,string_acoustic_012-052-127,flute_synthetic_000-079-127
189,guitar_acoustic_010-057-100,string_acoustic_056-056-075
190,keyboard_electronic_003-063-127,flute_synthetic_000-050-127
191,guitar_acoustic_015-064-127,keyboard_electronic_078-058-050
192,flute_synthetic_000-060-025,guitar_acoustic_010-080-075
193,guitar_electronic_028-048-127,string_acoustic_056-079-050
194,string_acoustic_014-064-050,flute_synthetic_000-049-050
195,keyboard_electronic_069-051-075,guitar_acoustic_014-053-100
196,flute_synthetic_000-079-127,keyboard_electronic_098-082-075
197,string_acoustic_080-048-025,keyboard_electronic_002-049-127
198,guitar_acoustic_010-057-025,string_acoustic_014-059-075
199,guitar_electronic_022-079-100,keyboard_electronic_002-067-075
200,string_acoustic_056-061-100,flute_synthetic_000-050-050
201,keyboard_synthetic_000-082-127,string_acoustic_014-065-127
202,guitar_acoustic_021-053-100,flute_acoustic_002-079-100
203,string_acoustic_057-061-050,flute_synthetic_000-072-050
204,flute_synthetic_000-052-025,guitar_electronic_022-055-100
205,keyboard_synthetic_000-062-075,flute_synthetic_000-054-075
206,flute_synthetic_000-064-127,keyboard_acoustic_004-058-100
207,string_acoustic_014-060-025,keyboard_electronic_003-050-050
208,guitar_acoustic_010-072-050,string_acoustic_056-057-127
209,flute_synthetic_000-064-127,keyboard_electronic_078-058-025
210,keyboard_electronic_002-064-025,guitar_acoustic_021-055-100
211,keyboard_electronic_003-066-025,flute_synthetic_000-068-075
212,keyboard_electronic_003-058-100,string_acoustic_080-049-127
213,keyboard_electronic_001-048-050,flute_synthetic_000-061-075
214,guitar_electronic_028-075-050,flute_synthetic_000-063-075
215,guitar_acoustic_010-077-025,flute_synthetic_000-057-025
216,flute_synthetic_000-054-050,keyboard_electronic_003-074-127
217,string_acoustic_056-071-050,keyboard_electronic_001-070-100
218,string_acoustic_056-079-127,keyboard_acoustic_004-076-075
219,guitar_acoustic_015-077-100,keyboard_electronic_003-053-127
220,guitar_acoustic_010-065-100,string_acoustic_056-056-025
221,string_acoustic_057-078-075,guitar_electronic_028-077-050
222,guitar_electronic_028-072-075,keyboard_electronic_003-073-100
223,string_acoustic_014-065-075,flute_synthetic_000-062-075
224,string_acoustic_056-050-127,keyboard_electronic_002-062-050
225,guitar_acoustic_010-068-075,string_acoustic_012-055-025
226,string_acoustic_056-061-100,flute_synthetic_000-079-025
227,keyboard_electronic_002-062-075,flute_synthetic_000-053-127
228,keyboard_electronic_069-057-050,guitar_electronic_022-079-127
229,string_acoustic_056-071-100,guitar_acoustic_015-070-100
230,flute_synthetic_000-058-025,guitar_acoustic_010-068-127
231,flute_synthetic_000-058-025,guitar_acoustic_021-080-100
232,guitar_acoustic_030-074-050,keyboard_electronic_001-048-050
233,keyboard_acoustic_004-072-025,guitar_acoustic_030-054-075
234,string_acoustic_014-062-127,guitar_acoustic_014-060-127
235,flute_synthetic_000-055-050,string_acoustic_056-054-100
236,keyboard_electronic_002-067-075,flute_synthetic_000-073-127
237,string_acoustic_056-071-100,guitar_acoustic_015-077-127
238,string_acoustic_014-061-025,keyboard_electronic_001-057-100
239,string_acoustic_056-061-100,guitar_acoustic_014-056-025
240,guitar_acoustic_030-076-100,keyboard_electronic_003-081-127
241,guitar_acoustic_010-076-050,keyboard_electronic_078-059-025
242,guitar_acoustic_010-070-025,keyboard_electronic_003-074-127
243,flute_synthetic_000-079-100,string_acoustic_014-059-075
244,flute_synthetic_000-048-100,string_acoustic_056-071-100
245,keyboard_synthetic_000-050-100,guitar_acoustic_021-071-050
246,keyboard_electronic_069-051-075,flute_acoustic_002-078-050
247,flute_synthetic_000-057-100,keyboard_electronic_069-050-127
248,flute_synthetic_000-058-100,guitar_electronic_028-067-025
249,string_acoustic_014-052-127,keyboard_synthetic_000-049-075
250,string_acoustic_056-075-025,keyboard_electronic_002-052-075
251,keyboard_acoustic_004-064-050,flute_synthetic_000-064-100
252,flute_synthetic_000-073-127,string_acoustic_071-052-075
253,string_acoustic_056-065-127,guitar_electronic_028-057-075
254,guitar_acoustic_010-049-127,string_acoustic_012-055-025
255,string_acoustic_057-077-050,guitar_acoustic_021-083-025
256,flute_acoustic_002-075-100,guitar_acoustic_010-068-075
257,string_acoustic_057-072-050,guitar_acoustic_021-074-025
258,keyboard_acoustic_004-072-127,guitar_electronic_022-057-025
259,flute_synthetic_000-072-075,string_acoustic_057-083-127
260,guitar_acoustic_021-065-075,string_acoustic_012-051-127
261,keyboard_acoustic_004-074-075,guitar_acoustic_015-070-025
262,flute_synthetic_000-052-025,keyboard_electronic_003-050-050
263,flute_synthetic_000-062-075,guitar_acoustic_014-078-050
264,flute_synthetic_000-083-127,keyboard_electronic_069-066-050
265,string_acoustic_014-065-127,keyboard_electronic_002-062-050
266,flute_acoustic_002-077-100,keyboard_electronic_002-059-025
267,flute_acoustic_002-078-025,keyboard_synthetic_000-048-075
268,string_acoustic_056-052-075,keyboard_acoustic_004-062-075
269,string_acoustic_056-054-050,keyboard_electronic_002-068-100
270,flute_synthetic_000-073-075,keyboard_electronic_069-048-025
271,string_acoustic_057-064-025,keyboard_electronic_002-062-075
272,keyboard_electronic_098-073-025,string_acoustic_071-053-075
273,flute_synthetic_000-072-025,string_acoustic_056-067-127
274,flute_synthetic_000-064-100,guitar_acoustic_030-081-050
275,flute_synthetic_000-062-075,keyboard_synthetic_000-048-025
276,string_acoustic_056-050-050,guitar_acoustic_010-050-050
277,guitar_acoustic_014-063-100,keyboard_synthetic_000-062-075
278,string_acoustic_014-061-025,guitar_acoustic_010-082-127
279,guitar_electronic_022-056-127,string_acoustic_014-064-050
280,guitar_acoustic_015-074-100,flute_synthetic_000-079-127
281,keyboard_electronic_003-073-100,guitar_acoustic_021-072-127
282,keyboard_synthetic_000-048-075,guitar_acoustic_014-084-127
283,flute_synthetic_000-053-127,guitar_acoustic_015-061-075
284,keyboard_electronic_003-080-075,flute_synthetic_000-073-075
285,guitar_acoustic_014-061-050,string_acoustic_057-058-127
286,guitar_acoustic_014-076-025,keyboard_electronic_003-071-127
287,guitar_electronic_028-051-075,string_acoustic_056-072-100
288,keyboard_electronic_002-076-100,string_acoustic_057-063-100
289,string_acoustic_056-079-127,keyboard_electronic_069-081-075
290,flute_synthetic_000-058-025,string_acoustic_057-083-127
291,guitar_electronic_022-063-025,keyboard_electronic_003-080-127
292,guitar_acoustic_030-076-100,flute_synthetic_000-072-100
293,keyboard_acoustic_004-081-100,string_acoustic_057-060-100
294,keyboard_electronic_069-061-025,string_acoustic_071-053-075
295,guitar_electronic_022-080-050,string_acoustic_056-067-025
296,string_acoustic_071-053-075,flute_synthetic_000-066-075
297,flute_synthetic_000-054-025,guitar_electronic_022-050-075
298,string_acoustic_056-071-127,keyboard_electronic_003-080-127
299,guitar_acoustic_010-069-100,string_acoustic_056-072-100
300,guitar_acoustic_015-060-025,flute_synthetic_000-080-050
301,guitar_acoustic_014-071-025,string_acoustic_071-051-127
302,flute_acoustic_002-081-075,string_acoustic_056-064-100
303,flute_synthetic_000-062-075,string_acoustic_057-064-050
304,keyboard_electronic_003-072-025,guitar_acoustic_015-057-100
305,guitar_acoustic_014-075-050,string_acoustic_057-063-100
306,string_acoustic_057-078-025,flute_acoustic_002-084-025
307,guitar_electronic_022-050-075,flute_synthetic_000-083-050
308,guitar_electronic_028-048-127,keyboard_electronic_078-076-025
309,string_acoustic_012-049-025,flute_synthetic_000-073-050
310,flute_synthetic_000-072-075,keyboard_acoustic_004-081-100
311,guitar_acoustic_021-061-075,flute_synthetic_000-062-075
312,flute_synthetic_000-057-100,string_acoustic_014-049-127
313,flute_synthetic_000-061-075,keyboard_acoustic_004-056-127
314,guitar_acoustic_015-062-050,string_acoustic_056-061-100
315,keyboard_electronic_003-053-075,guitar_acoustic_021-064-127
316,guitar_electronic_022-081-050,keyboard_acoustic_004-082-050
317,guitar_acoustic_014-063-100,flute_synthetic_000-048-100
318,guitar_acoustic_010-063-025,keyboard_electronic_098-064-025
319,guitar_acoustic_010-058-075,flute_acoustic_002-071-127
320,keyboard_electronic_098-059-127,flute_synthetic_000-048-100
321,flute_synthetic_000-054-025,guitar_electronic_028-060-075
322,string_acoustic_057-064-025,flute_acoustic_002-069-025
323,keyboard_electronic_098-060-100,guitar_acoustic_014-060-050
324,keyboard_electronic_098-062-050,string_acoustic_057-061-100
325,keyboard_electronic_078-064-075,guitar_acoustic_015-066-100
326,keyboard_electronic_078-074-050,string_acoustic_056-061-100
327,guitar_acoustic_021-053-075,string_acoustic_056-079-050
328,flute_synthetic_000-083-050,string_acoustic_012-052-127
329,flute_acoustic_002-083-100,string_acoustic_014-051-100
330,keyboard_synthetic_000-049-100,string_acoustic_014-065-075
331,guitar_acoustic_015-074-075,keyboard_electronic_069-066-025
332,keyboard_electronic_002-078-127,guitar_electronic_022-083-075
333,keyboard_acoustic_004-063-025,string_acoustic_056-075-025
334,guitar_electronic_028-067-025,flute_synthetic_000-058-025
335,guitar_electronic_028-062-127,flute_acoustic_002-077-050
336,guitar_acoustic_021-082-100,keyboard_electronic_003-064-050
337,guitar_acoustic_021-053-075,keyboard_electronic_002-082-025
338,guitar_electronic_022-067-127,flute_synthetic_000-068-075
339,flute_synthetic_000-083-050,guitar_acoustic_015-062-100
340,keyboard_synthetic_000-053-050,string_acoustic_057-064-075
341,flute_acoustic_002-067-025,guitar_acoustic_014-067-100
342,string_acoustic_014-061-100,flute_acoustic_002-077-100
343,keyboard_electronic_078-058-025,guitar_acoustic_010-050-050
344,flute_acoustic_002-083-100,keyboard_electronic_078-069-100
345,string_acoustic_057-067-100,guitar_acoustic_021-074-127
346,keyboard_electronic_069-057-050,flute_acoustic_002-077-025
347,keyboard_electronic_002-048-050,guitar_acoustic_030-076-100
348,flute_acoustic_002-078-050,guitar_acoustic_014-052-025
349,string_acoustic_014-054-100,flute_synthetic_000-049-100
350,string_acoustic_057-058-127,guitar_acoustic_015-061-075
351,keyboard_electronic_001-070-100,guitar_electronic_022-054-100
352,flute_synthetic_000-081-075,keyboard_electronic_001-063-075
353,guitar_electronic_022-077-127,string_acoustic_056-052-075
354,guitar_electronic_028-068-075,string_acoustic_056-056-075
355,guitar_acoustic_010-079-100,string_acoustic_056-059-127
356,flute_synthetic_000-052-050,guitar_electronic_028-077-050
357,string_acoustic_057-061-100,keyboard_electronic_078-080-100
358,string_acoustic_014-054-127,keyboard_synthetic_000-076-100
359,flute_acoustic_002-079-100,guitar_acoustic_015-051-075
360,keyboard_electronic_002-082-075,guitar_acoustic_014-057-025
361,guitar_acoustic_021-053-075,string_acoustic_057-063-127
362,flute_synthetic_000-075-075,guitar_acoustic_021-076-025
363,string_acoustic_056-078-127,keyboard_electronic_002-059-025
364,guitar_electronic_028-065-050,keyboard_electronic_098-073-025
365,keyboard_electronic_069-048-025,guitar_electronic_028-057-075
366,guitar_acoustic_021-069-127,keyboard_electronic_078-062-050
367,flute_synthetic_000-070-127,keyboard_synthetic_000-056-100
368,guitar_electronic_022-082-127,string_acoustic_057-070-050
369,flute_synthetic_000-048-127,string_acoustic_012-054-050
370,flute_synthetic_000-053-025,string_acoustic_057-071-075
371,guitar_acoustic_010-068-050,string_acoustic_014-063-050
372,keyboard_electronic_003-053-050,guitar_acoustic_010-068-050
373,flute_synthetic_000-072-050,string_acoustic_057-061-050
374,string_acoustic_057-083-127,flute_synthetic_000-081-127
375,string_acoustic_057-075-075,guitar_acoustic_010-082-127
376,guitar_acoustic_014-084-127,string_acoustic_057-074-050
377,flute_synthetic_000-066-025,keyboard_acoustic_004-083-075
378,keyboard_electronic_002-066-100,flute_synthetic_000-048-127
379,flute_synthetic_000-049-100,guitar_acoustic_015-049-050
380,string_acoustic_012-055-050,guitar_acoustic_015-057-100
381,string_acoustic_080-050-075,guitar_acoustic_030-081-050
382,string_acoustic_014-062-127,guitar_acoustic_021-051-025
383,guitar_acoustic_014-073-100,string_acoustic_071-054-075
384,guitar_acoustic_010-065-025,flute_synthetic_000-050-050
385,flute_synthetic_000-070-127,guitar_acoustic_010-077-025
386,flute_synthetic_000-083-050,guitar_acoustic_010-049-127
387,keyboard_acoustic_004-061-127,guitar_acoustic_015-067-050
388,string_acoustic_056-052-075,guitar_acoustic_010-074-100
389,flute_acoustic_002-074-025,string_acoustic_080-051-127
390,string_acoustic_057-061-050,guitar_acoustic_015-060-050
391,guitar_acoustic_014-060-050,flute_synthetic_000-081-075
392,keyboard_electronic_003-062-025,flute_synthetic_000-068-050
393,string_acoustic_056-067-025,flute_acoustic_002-079-100
394,flute_synthetic_000-073-050,string_acoustic_057-081-127
395,flute_synthetic_000-049-025,keyboard_synthetic_000-048-025
396,flute_synthetic_000-050-050,guitar_electronic_028-075-127
397,guitar_acoustic_021-058-100,keyboard_electronic_003-063-127
398,string_acoustic_057-077-075,guitar_acoustic_030-073-075
399,string_acoustic_057-082-050,keyboard_electronic_002-063-050
400,keyboard_electronic_001-051-127,guitar_acoustic_030-054-075
401,keyboard_synthetic_000-072-050,string_acoustic_014-061-100
402,keyboard_electronic_069-072-075,string_acoustic_057-071-075
403,guitar_acoustic_030-062-025,flute_synthetic_000-064-127
404,guitar_acoustic_021-073-025,string_acoustic_057-078-075
405,keyboard_electronic_003-063-075,flute_acoustic_002-079-100
406,guitar_acoustic_014-084-127,string_acoustic_056-069-025
407,guitar_electronic_028-082-100,string_acoustic_057-071-025
408,flute_synthetic_000-051-100,guitar_acoustic_014-062-075
409,string_acoustic_014-061-025,guitar_acoustic_010-070-127
410,string_acoustic_056-054-100,guitar_acoustic_014-061-127
411,guitar_electronic_028-048-050,flute_synthetic_000-058-100
412,flute_synthetic_000-064-127,string_acoustic_057-073-127
413,keyboard_acoustic_004-075-050,string_acoustic_014-061-025
414,keyboard_acoustic_004-054-050,guitar_acoustic_021-071-050
415,string_acoustic_056-069-025,guitar_acoustic_010-071-075
416,guitar_electronic_028-060-075,string_acoustic_056-071-075
417,guitar_acoustic_021-076-025,keyboard_electronic_001-075-050
418,flute_synthetic_000-062-025,string_acoustic_071-052-127
419,flute_acoustic_002-079-127,string_acoustic_057-064-025
420,string_acoustic_057-065-100,flute_acoustic_002-079-127
421,keyboard_electronic_069-075-075,string_acoustic_057-068-100
422,string_acoustic_014-050-127,flute_acoustic_002-078-025
423,string_acoustic_057-081-127,guitar_acoustic_010-063-127
424,flute_acoustic_002-075-100,string_acoustic_056-058-127
425,string_acoustic_056-050-050,keyboard_electronic_069-054-127
426,guitar_acoustic_030-073-075,string_acoustic_071-055-050
427,string_acoustic_014-049-127,keyboard_electronic_078-062-050
428,string_acoustic_071-052-127,keyboard_electronic_069-051-075
429,string_acoustic_056-060-075,flute_synthetic_000-049-025
430,keyboard_electronic_001-053-050,flute_acoustic_002-078-025
431,keyboard_acoustic_004-083-075,string_acoustic_014-061-025
432,guitar_electronic_028-072-075,string_acoustic_012-051-127
433,keyboard_electronic_078-052-100,flute_acoustic_002-079-127
434,guitar_electronic_028-077-127,keyboard_electronic_003-048-127
435,keyboard_synthetic_000-061-127,flute_synthetic_000-061-050
436,keyboard_electronic_003-080-127,flute_acoustic_002-077-025
437,string_acoustic_056-055-100,guitar_acoustic_010-079-100
438,string_acoustic_014-063-050,guitar_acoustic_010-076-050
439,guitar_electronic_022-073-127,flute_synthetic_000-061-050
440,guitar_electronic_028-068-050,flute_synthetic_000-052-050
441,guitar_electronic_022-082-050,string_acoustic_014-061-025
442,string_acoustic_012-048-100,flute_acoustic_002-067-025
443,keyboard_electronic_069-077-100,guitar_acoustic_014-056-025
444,guitar_acoustic_015-060-025,keyboard_electronic_098-054-025
445,string_acoustic_012-048-100,keyboard_electronic_002-074-025
446,flute_synthetic_000-070-127,guitar_acoustic_010-056-050
447,flute_synthetic_000-057-025,string_acoustic_057-063-127
448,guitar_electronic_022-084-025,keyboard_acoustic_004-081-100
449,flute_synthetic_000-064-100,guitar_acoustic_021-057-127
450,keyboard_electronic_098-058-025,guitar_acoustic_014-077-050
451,keyboard_acoustic_004-068-075,flute_acoustic_002-078-025
452,keyboard_electronic_003-048-025,flute_acoustic_002-067-050
453,string_acoustic_057-070-100,guitar_acoustic_010-067-127
454,keyboard_electronic_078-080-075,guitar_acoustic_010-079-100
455,keyboard_acoustic_004-075-050,flute_acoustic_002-083-100
456,flute_synthetic_000-054-025,guitar_electronic_028-066-075
