qualities,pitch,note,instrument_source_str,velocity,instrument_str,instrument,sample_rate,qualities_str,instrument_source,note_str,instrument_family,instrument_family_str
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",39,172299,electronic,75,keyboard_electronic_002,50,16000,['distortion'],1,keyboard_electronic_002-039-075,4,keyboard
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",84,283057,synthetic,127,bass_synthetic_009,150,16000,"['bright', 'distortion', 'long_release']",2,bass_synthetic_009-084-127,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",76,269249,electronic,100,organ_electronic_057,701,16000,[],1,organ_electronic_057-076-100,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",32,166181,electronic,25,organ_electronic_028,440,16000,['dark'],1,organ_electronic_028-032-025,6,organ
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",105,45066,acoustic,75,flute_acoustic_002,86,16000,"['bright', 'reverb']",0,flute_acoustic_002-105-075,2,flute
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",53,118324,electronic,75,guitar_electronic_022,378,16000,['dark'],1,guitar_electronic_022-053-075,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89,22412,electronic,127,keyboard_electronic_069,805,16000,[],1,keyboard_electronic_069-089-127,4,keyboard
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",31,15707,acoustic,127,guitar_acoustic_021,457,16000,['distortion'],0,guitar_acoustic_021-031-127,3,guitar
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",108,241249,synthetic,50,bass_synthetic_068,656,16000,"['bright', 'fast_decay', 'percussive']",2,bass_synthetic_068-108-050,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",54,287081,electronic,127,organ_electronic_113,958,16000,['dark'],1,organ_electronic_113-054-127,6,organ
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100,63054,acoustic,127,guitar_acoustic_014,263,16000,"['fast_decay', 'percussive']",0,guitar_acoustic_014-100-127,3,guitar
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",29,18444,acoustic,50,mallet_acoustic_062,644,16000,"['dark', 'multiphonic']",0,mallet_acoustic_062-029-050,5,mallet
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",104,149358,synthetic,127,bass_synthetic_034,420,16000,"['bright', 'distortion', 'tempo-synced']",2,bass_synthetic_034-104-127,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,54245,acoustic,25,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-064-025,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",51,294760,electronic,25,keyboard_electronic_098,905,16000,['dark'],1,keyboard_electronic_098-051-025,4,keyboard
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",45,251112,synthetic,100,bass_synthetic_098,803,16000,['distortion'],2,bass_synthetic_098-045-100,0,bass
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",80,240244,synthetic,100,keyboard_synthetic_000,577,16000,"['bright', 'distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-080-100,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",72,291687,electronic,100,organ_electronic_057,701,16000,[],1,organ_electronic_057-072-100,6,organ
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",102,229296,acoustic,100,keyboard_acoustic_004,327,16000,"['percussive', 'reverb']",0,keyboard_acoustic_004-102-100,4,keyboard
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",39,76963,acoustic,127,reed_acoustic_023,224,16000,"['bright', 'fast_decay', 'multiphonic', 'nonlinear_env']",0,reed_acoustic_023-039-127,7,reed
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",58,156024,electronic,25,keyboard_electronic_001,40,16000,['dark'],1,keyboard_electronic_001-058-025,4,keyboard
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",83,257526,synthetic,25,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-083-025,4,keyboard
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",25,166489,acoustic,127,guitar_acoustic_014,263,16000,['long_release'],0,guitar_acoustic_014-025-127,3,guitar
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",35,39233,acoustic,100,string_acoustic_071,609,16000,"['long_release', 'reverb']",0,string_acoustic_071-035-100,8,string
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",58,118216,acoustic,25,reed_acoustic_023,224,16000,"['bright', 'fast_decay', 'multiphonic', 'nonlinear_env']",0,reed_acoustic_023-058-025,7,reed
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",27,16979,synthetic,50,vocal_synthetic_003,37,16000,"['distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-027-050,10,vocal
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",57,270914,electronic,75,bass_electronic_027,880,16000,[],1,bass_electronic_027-057-075,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",86,126614,synthetic,75,bass_synthetic_034,420,16000,['tempo-synced'],2,bass_synthetic_034-086-075,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",78,18816,acoustic,50,flute_acoustic_002,86,16000,['reverb'],0,flute_acoustic_002-078-050,2,flute
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",66,238639,synthetic,75,bass_synthetic_009,150,16000,"['bright', 'distortion', 'long_release']",2,bass_synthetic_009-066-075,0,bass
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",29,130756,electronic,25,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-029-025,6,organ
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",35,288383,synthetic,100,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-035-100,4,keyboard
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",26,147966,synthetic,75,bass_synthetic_068,656,16000,['dark'],2,bass_synthetic_068-026-075,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",51,72712,synthetic,100,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-051-100,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",32,183528,acoustic,100,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-032-100,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",68,144655,electronic,50,organ_electronic_113,958,16000,[],1,organ_electronic_113-068-050,6,organ
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",40,66211,acoustic,100,string_acoustic_012,97,16000,"['long_release', 'reverb']",0,string_acoustic_012-040-100,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",61,74272,acoustic,75,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-061-075,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",39,167826,electronic,127,bass_electronic_025,872,16000,[],1,bass_electronic_025-039-127,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",47,286622,electronic,75,organ_electronic_028,440,16000,['dark'],1,organ_electronic_028-047-075,6,organ
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",91,28363,synthetic,50,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-091-050,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",43,301254,acoustic,127,keyboard_acoustic_004,327,16000,['reverb'],0,keyboard_acoustic_004-043-127,4,keyboard
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",40,55173,acoustic,50,string_acoustic_012,97,16000,"['long_release', 'reverb']",0,string_acoustic_012-040-050,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",62,27009,acoustic,127,brass_acoustic_015,121,16000,['reverb'],0,brass_acoustic_015-062-127,1,brass
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",107,159166,acoustic,127,mallet_acoustic_047,488,16000,"['fast_decay', 'percussive', 'reverb']",0,mallet_acoustic_047-107-127,5,mallet
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",63,242467,electronic,50,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-063-050,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",35,62230,acoustic,100,reed_acoustic_037,387,16000,['reverb'],0,reed_acoustic_037-035-100,7,reed
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",61,259543,electronic,100,organ_electronic_057,701,16000,['dark'],1,organ_electronic_057-061-100,6,organ
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",84,80442,acoustic,50,mallet_acoustic_062,644,16000,"['fast_decay', 'multiphonic']",0,mallet_acoustic_062-084-050,5,mallet
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",70,284844,synthetic,100,keyboard_synthetic_000,577,16000,"['bright', 'distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-070-100,4,keyboard
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",72,116642,electronic,75,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-072-075,6,organ
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",47,141023,synthetic,100,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-047-100,4,keyboard
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",74,188532,electronic,75,keyboard_electronic_069,805,16000,['distortion'],1,keyboard_electronic_069-074-075,4,keyboard
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",95,66188,acoustic,50,flute_acoustic_002,86,16000,"['long_release', 'reverb']",0,flute_acoustic_002-095-050,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86,151161,electronic,25,keyboard_electronic_003,65,16000,[],1,keyboard_electronic_003-086-025,4,keyboard
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",76,17395,synthetic,75,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-076-075,10,vocal
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",52,88508,electronic,75,guitar_electronic_028,510,16000,['dark'],1,guitar_electronic_028-052-075,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",54,271667,synthetic,50,bass_synthetic_134,914,16000,"['dark', 'reverb']",2,bass_synthetic_134-054-050,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",42,221293,synthetic,50,bass_synthetic_134,914,16000,"['dark', 'reverb']",2,bass_synthetic_134-042-050,0,bass
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",88,213654,electronic,50,organ_electronic_007,123,16000,"['long_release', 'nonlinear_env']",1,organ_electronic_007-088-050,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",59,286356,electronic,50,guitar_electronic_022,378,16000,['dark'],1,guitar_electronic_022-059-050,3,guitar
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",74,289699,synthetic,100,keyboard_synthetic_000,577,16000,"['bright', 'distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-074-100,4,keyboard
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100,138082,synthetic,75,flute_synthetic_000,82,16000,"['bright', 'distortion']",2,flute_synthetic_000-100-075,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",30,298929,electronic,25,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-030-025,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",77,177125,acoustic,25,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-077-025,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",27,13362,acoustic,100,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-027-100,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",74,137440,acoustic,127,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-074-127,3,guitar
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",98,16913,acoustic,75,brass_acoustic_046,414,16000,['long_release'],0,brass_acoustic_046-098-075,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88,307,electronic,25,keyboard_electronic_003,65,16000,[],1,keyboard_electronic_003-088-025,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",64,47423,acoustic,75,guitar_acoustic_030,642,16000,['tempo-synced'],0,guitar_acoustic_030-064-075,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",40,158166,electronic,25,guitar_electronic_028,510,16000,['dark'],1,guitar_electronic_028-040-025,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,238309,electronic,100,keyboard_electronic_098,905,16000,[],1,keyboard_electronic_098-065-100,4,keyboard
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",81,281416,synthetic,25,bass_synthetic_009,150,16000,"['bright', 'distortion', 'long_release']",2,bass_synthetic_009-081-025,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",37,50240,electronic,50,bass_electronic_018,759,16000,[],1,bass_electronic_018-037-050,0,bass
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",54,298932,electronic,100,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-054-100,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",72,123967,acoustic,50,reed_acoustic_018,183,16000,[],0,reed_acoustic_018-072-050,7,reed
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",97,113951,electronic,50,keyboard_electronic_002,50,16000,"['fast_decay', 'percussive']",1,keyboard_electronic_002-097-050,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",59,71990,acoustic,75,brass_acoustic_059,572,16000,['reverb'],0,brass_acoustic_059-059-075,1,brass
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",85,218742,synthetic,100,bass_synthetic_034,420,16000,"['bright', 'distortion', 'tempo-synced']",2,bass_synthetic_034-085-100,0,bass
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",73,250317,synthetic,75,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-073-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",60,214594,electronic,50,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-060-050,4,keyboard
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",69,205529,synthetic,75,bass_synthetic_134,914,16000,"['dark', 'reverb']",2,bass_synthetic_134-069-075,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",48,170183,electronic,25,bass_electronic_027,880,16000,[],1,bass_electronic_027-048-025,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",45,211112,electronic,75,organ_electronic_028,440,16000,['dark'],1,organ_electronic_028-045-075,6,organ
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",90,304634,electronic,50,organ_electronic_007,123,16000,"['long_release', 'nonlinear_env']",1,organ_electronic_007-090-050,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",85,122839,electronic,100,organ_electronic_001,8,16000,[],1,organ_electronic_001-085-100,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,191459,acoustic,127,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-067-127,3,guitar
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",53,8669,synthetic,50,vocal_synthetic_003,37,16000,"['distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-053-050,10,vocal
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",53,66306,acoustic,127,brass_acoustic_046,414,16000,[],0,brass_acoustic_046-053-127,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",64,17569,acoustic,127,vocal_acoustic_000,46,16000,['reverb'],0,vocal_acoustic_000-064-127,10,vocal
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",45,253721,electronic,100,keyboard_electronic_002,50,16000,['distortion'],1,keyboard_electronic_002-045-100,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",70,257989,electronic,100,keyboard_electronic_001,40,16000,[],1,keyboard_electronic_001-070-100,4,keyboard
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",57,91133,electronic,75,keyboard_electronic_098,905,16000,['dark'],1,keyboard_electronic_098-057-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",56,251197,electronic,75,organ_electronic_104,921,16000,[],1,organ_electronic_104-056-075,6,organ
